timestamp(s),px(m),py(m),pz(m),qw,qx,qy,qz
320339.357870,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320339.391691,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320339.425510,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320339.459330,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320339.493150,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320339.526969,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320339.594609,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320339.628428,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320339.662248,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320339.696068,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320339.729888,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320339.763707,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320339.797527,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320339.831346,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320339.865166,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320339.898986,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320339.932805,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320339.966625,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320340.000445,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320340.034265,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320340.068084,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320340.101904,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320340.135723,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320340.169543,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320340.203363,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320340.237182,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320340.271002,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320340.304822,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320340.338642,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320340.372461,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320340.406281,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320340.440101,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320340.473920,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320340.507740,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320340.541560,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320340.575379,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320340.609199,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320340.643019,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320340.676839,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320340.710658,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320340.744478,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320340.778297,0.018044,-0.015323,-0.003716,0.002441,-0.705168,0.709454,0.003137
320340.812117,-0.015298,-0.010573,0.015112,0.007722,-0.001474,0.834169,-0.551167
320340.845937,-0.039191,-0.100001,0.009764,0.009048,-0.004674,0.837076,-0.546847
320340.879756,-0.040973,-0.107522,0.009265,0.009735,-0.004878,0.837528,-0.546163
320340.913576,-0.042818,-0.115398,0.008747,0.010428,-0.005393,0.837936,-0.545656
320340.947396,-0.035619,-0.060383,0.010291,0.002863,0.002129,0.830740,-0.556546
320340.981216,-0.035028,-0.047783,0.010545,0.004853,0.001311,0.829925,-0.557147
320341.015035,-0.036457,-0.050214,0.010170,0.004417,0.001518,0.829865,-0.557691
320341.048855,-0.029749,-0.042352,0.010311,0.007425,-0.001820,0.830588,-0.556865
320341.082675,-0.022749,-0.035063,0.010667,0.007226,-0.002716,0.829698,-0.558012
320341.116494,-0.023616,-0.036909,0.010205,0.007041,-0.002517,0.829728,-0.558450
320341.150314,-0.019077,-0.036707,0.010353,0.007025,-0.003288,0.829055,-0.559033
320341.184134,-0.019716,-0.038545,0.009813,0.007510,-0.003498,0.829601,-0.558537
320341.217953,-0.020372,-0.040421,0.009346,0.008298,-0.003857,0.829666,-0.558337
320341.251773,-0.021080,-0.042304,0.008888,0.008875,-0.004246,0.829801,-0.557942
320341.285593,-0.017835,-0.048533,0.008759,0.007636,-0.001981,0.829558,-0.558092
320341.319413,-0.011645,-0.050322,0.008651,0.008329,-0.002252,0.829543,-0.558520
320341.353232,-0.012201,-0.052399,0.008169,0.007713,-0.002059,0.829219,-0.558856
320341.387052,-0.012881,-0.054481,0.007656,0.007117,-0.001918,0.828736,-0.559578
320341.420871,-0.013663,-0.056595,0.007114,0.006656,-0.001856,0.828435,-0.559266
320341.454691,-0.014597,-0.058790,0.006540,0.006370,-0.001785,0.828792,-0.559981
320341.488511,-0.011602,-0.047515,0.006715,0.005492,-0.001869,0.829474,-0.559434
320341.522330,-0.010731,-0.048907,0.006743,0.004360,-0.001466,0.828853,-0.559502
320341.556150,-0.013130,-0.046287,0.006850,0.003375,-0.000865,0.828689,-0.559688
